,iterations,replicate,variable,value
0,1000.0,0.0,kld,0.1597839734641724
1,1000.0,1.0,kld,0.288516846246754
2,1000.0,2.0,kld,0.23804355678045397
3,1000.0,3.0,kld,0.2017594565441847
4,1000.0,4.0,kld,0.28329110773237076
5,1000.0,5.0,kld,0.2471143033754668
6,1000.0,6.0,kld,0.27955371934533524
7,1000.0,7.0,kld,0.3205264183296421
8,1000.0,8.0,kld,0.2013088166764767
9,1000.0,9.0,kld,0.2606842306106181
10,1258.4989506418272,0.0,kld,0.11445468149278426
11,1258.4989506418272,1.0,kld,0.22086055269965676
12,1258.4989506418272,2.0,kld,0.17727391343636434
13,1258.4989506418272,3.0,kld,0.11944067557044313
14,1258.4989506418272,4.0,kld,0.2564248131491471
15,1258.4989506418272,5.0,kld,0.11846498118413606
16,1258.4989506418272,6.0,kld,0.12802295055501212
17,1258.4989506418272,7.0,kld,0.14806433905102168
18,1258.4989506418272,8.0,kld,0.15093137788775124
19,1258.4989506418272,9.0,kld,0.17412044026766615
20,1583.8196087665788,0.0,kld,0.0773231048579408
21,1583.8196087665788,1.0,kld,0.11198287760195313
22,1583.8196087665788,2.0,kld,0.1260427547826879
23,1583.8196087665788,3.0,kld,0.1305208763419241
24,1583.8196087665788,4.0,kld,0.11453008178562385
25,1583.8196087665788,5.0,kld,0.10104326927293883
26,1583.8196087665788,6.0,kld,0.1411316653792838
27,1583.8196087665788,7.0,kld,0.09415843599330742
28,1583.8196087665788,8.0,kld,0.13984741096879638
29,1583.8196087665788,9.0,kld,0.09480564782970013
30,1993.2353156386887,0.0,kld,0.07293739973051672
31,1993.2353156386887,1.0,kld,0.07983643585424716
32,1993.2353156386887,2.0,kld,0.06130818551953432
33,1993.2353156386887,3.0,kld,0.09094892781648944
34,1993.2353156386887,4.0,kld,0.09292198329814916
35,1993.2353156386887,5.0,kld,0.06829339774389176
36,1993.2353156386887,6.0,kld,0.10793443126245705
37,1993.2353156386887,7.0,kld,0.06623005813768579
38,1993.2353156386887,8.0,kld,0.06539301418855636
39,1993.2353156386887,9.0,kld,0.07465942739959175
40,2508.4845531135184,0.0,kld,0.074458639934603
