,iterations,replicate,variable,value
0,1000.0,0.0,kld,1.8233240989334782
1,1000.0,1.0,kld,1.0608041618892061
2,1000.0,2.0,kld,1.4261868467218148
3,1000.0,3.0,kld,1.007805515540837
4,1000.0,4.0,kld,1.812036087365199
5,1000.0,5.0,kld,1.4178079063230307
6,1000.0,6.0,kld,1.2220091626711804
7,1000.0,7.0,kld,1.3749733873288585
8,1000.0,8.0,kld,1.6259694361688588
9,1000.0,9.0,kld,1.1830215363389383
10,1258.4989506418272,0.0,kld,1.3380505227543713
11,1258.4989506418272,1.0,kld,1.2748694612972185
12,1258.4989506418272,2.0,kld,1.5899788850931218
13,1258.4989506418272,3.0,kld,1.8830310344226002
14,1258.4989506418272,4.0,kld,1.7316817321662468
15,1258.4989506418272,5.0,kld,1.6309263388936364
16,1258.4989506418272,6.0,kld,1.6024642870136754
17,1258.4989506418272,7.0,kld,1.9082398072270745
18,1258.4989506418272,8.0,kld,1.5639682317498238
19,1258.4989506418272,9.0,kld,1.349535929325977
20,1583.8196087665788,0.0,kld,1.683313646198449
21,1583.8196087665788,1.0,kld,1.5171444421930538
22,1583.8196087665788,2.0,kld,1.4998625076104997
23,1583.8196087665788,3.0,kld,1.6375750686308481
24,1583.8196087665788,4.0,kld,1.3397224397713794
25,1583.8196087665788,5.0,kld,1.6688127728069762
26,1583.8196087665788,6.0,kld,1.4810502653235553
27,1583.8196087665788,7.0,kld,1.511428245124363
28,1583.8196087665788,8.0,kld,1.0077427888895154
29,1583.8196087665788,9.0,kld,1.0294780999955337
30,1993.2353156386887,0.0,kld,1.4504422805128403
31,1993.2353156386887,1.0,kld,1.4638876570323842
32,1993.2353156386887,2.0,kld,1.6896006860786823
33,1993.2353156386887,3.0,kld,1.4871114063639146
34,1993.2353156386887,4.0,kld,1.5800331105481695
35,1993.2353156386887,5.0,kld,1.115228918612703
36,1993.2353156386887,6.0,kld,1.5255531165298617
37,1993.2353156386887,7.0,kld,1.5407049960704597
38,1993.2353156386887,8.0,kld,1.217563610151395
39,1993.2353156386887,9.0,kld,1.5575118196138469
40,2508.4845531135184,0.0,kld,1.4046930428722457
41,2508.4845531135184,1.0,kld,1.6035882689430814
42,2508.4845531135184,2.0,kld,1.3918117822385758
43,2508.4845531135184,3.0,kld,1.1624434223010365
44,2508.4845531135184,4.0,kld,1.1094706389640585
45,2508.4845531135184,5.0,kld,1.4954999741899315
46,2508.4845531135184,6.0,kld,1.588922006871667
47,2508.4845531135184,7.0,kld,1.1953830481623697
48,2508.4845531135184,8.0,kld,1.8470735461770071
49,2508.4845531135184,9.0,kld,1.2707200948345418
50,3156.925177794596,0.0,kld,1.390358545707532
51,3156.925177794596,1.0,kld,1.1845789583822288
52,3156.925177794596,2.0,kld,1.2487701216218774
53,3156.925177794596,3.0,kld,1.4164618449914466
54,3156.925177794596,4.0,kld,1.2089511759040006
55,3156.925177794596,5.0,kld,1.043672961070631
56,3156.925177794596,6.0,kld,1.0293586922607845
57,3156.925177794596,7.0,kld,1.4048923580056556
58,3156.925177794596,8.0,kld,1.3918901674978978
59,3156.925177794596,9.0,kld,1.5333165193308167
60,3972.987023509263,0.0,kld,1.1730314095943974
61,3972.987023509263,1.0,kld,1.4254610701279287
62,3972.987023509263,2.0,kld,1.1069243043092905
63,3972.987023509263,3.0,kld,1.1386970527688347
64,3972.987023509263,4.0,kld,1.191051039486518
65,3972.987023509263,5.0,kld,1.4572363715376548
66,3972.987023509263,6.0,kld,1.3116192139044376
67,3972.987023509263,7.0,kld,1.1219025752243903
68,3972.987023509263,8.0,kld,1.2381943945983012
69,3972.987023509263,9.0,kld,1.0939922786439369
70,4999.999999999999,0.0,kld,1.4497810506717457
71,4999.999999999999,1.0,kld,1.5938643622369009
72,4999.999999999999,2.0,kld,1.261519318383078
73,4999.999999999999,3.0,kld,0.9619098329074227
74,4999.999999999999,4.0,kld,1.2213752948469399
75,4999.999999999999,5.0,kld,1.2883566831183737
76,4999.999999999999,6.0,kld,1.0734404954353103
77,4999.999999999999,7.0,kld,0.8125667671161629
78,4999.999999999999,8.0,kld,1.0180742476618092
79,4999.999999999999,9.0,kld,1.2431836362206186
80,1000.0,0.0,ess,4.758844062415843
81,1000.0,1.0,ess,4.388518280989707
82,1000.0,2.0,ess,8.407162915156777
83,1000.0,3.0,ess,4.659139570231226
84,1000.0,4.0,ess,5.682816943827355
85,1000.0,5.0,ess,8.601291801759311
86,1000.0,6.0,ess,5.333070801517366
87,1000.0,7.0,ess,4.862232531593288
88,1000.0,8.0,ess,8.427364749681455
89,1000.0,9.0,ess,7.5411184556870925
90,1258.4989506418272,0.0,ess,6.436062585187272
91,1258.4989506418272,1.0,ess,4.825836666580211
92,1258.4989506418272,2.0,ess,5.141394078387032
93,1258.4989506418272,3.0,ess,10.442491019903393
94,1258.4989506418272,4.0,ess,3.8184413858900443
95,1258.4989506418272,5.0,ess,10.215851801257077
96,1258.4989506418272,6.0,ess,6.164971262344427
97,1258.4989506418272,7.0,ess,6.337452715326142
98,1258.4989506418272,8.0,ess,7.315829080630497
99,1258.4989506418272,9.0,ess,7.176060116106663
100,1583.8196087665788,0.0,ess,12.811503925854735
101,1583.8196087665788,1.0,ess,6.030677267408008
102,1583.8196087665788,2.0,ess,5.025308171960788
103,1583.8196087665788,3.0,ess,7.192400963460061
104,1583.8196087665788,4.0,ess,6.653219623911072
105,1583.8196087665788,5.0,ess,5.206327590751914
106,1583.8196087665788,6.0,ess,7.676716623349923
107,1583.8196087665788,7.0,ess,12.428750174246712
108,1583.8196087665788,8.0,ess,6.418050993422091
109,1583.8196087665788,9.0,ess,4.671520328569058
110,1993.2353156386887,0.0,ess,11.735163951061994
