,iterations,replicate,variable,value
0,2000.0000000000002,0.0,kld,0.014908202057146935
1,2000.0000000000002,1.0,kld,0.013347811163654688
2,2000.0000000000002,2.0,kld,0.03895774636706517
3,2000.0000000000002,3.0,kld,0.04044804353403708
4,2000.0000000000002,4.0,kld,0.010497517045979343
5,2000.0000000000002,5.0,kld,0.09399670724661835
6,2000.0000000000002,6.0,kld,0.012308278645640769
7,2000.0000000000002,7.0,kld,0.06176784072830377
8,2000.0000000000002,8.0,kld,0.02894021693787141
9,2000.0000000000002,9.0,kld,0.038653416338102486
10,2778.9909887462754,0.0,kld,0.021476381573497294
11,2778.9909887462754,1.0,kld,0.01764540746853238
12,2778.9909887462754,2.0,kld,0.06453457683622754
13,2778.9909887462754,3.0,kld,0.03423511887267572
14,2778.9909887462754,4.0,kld,0.004262082454415506
15,2778.9909887462754,5.0,kld,0.067308626856736
16,2778.9909887462754,6.0,kld,0.038949594742861526
17,2778.9909887462754,7.0,kld,0.03388624083748715
18,2778.9909887462754,8.0,kld,0.02255728036692517
19,2778.9909887462754,9.0,kld,0.02427196731135206
20,3861.3954577665,0.0,kld,0.012073928404620071
21,3861.3954577665,1.0,kld,0.03954133941791249
22,3861.3954577665,2.0,kld,0.010270946376599754
23,3861.3954577665,3.0,kld,0.010805028961348828
24,3861.3954577665,4.0,kld,0.005333062895404694
25,3861.3954577665,5.0,kld,0.028613441388292138
26,3861.3954577665,6.0,kld,0.02616734106773455
27,3861.3954577665,7.0,kld,0.012002874170133904
28,3861.3954577665,8.0,kld,0.012452567000382109
29,3861.3954577665,9.0,kld,0.026365090253207768
30,5365.3915905594495,0.0,kld,0.007166818046344892
31,5365.3915905594495,1.0,kld,0.0042340013071930915
32,5365.3915905594495,2.0,kld,0.014394896526439327
33,5365.3915905594495,3.0,kld,0.006129559529411965
34,5365.3915905594495,4.0,kld,0.0019373618093052603
35,5365.3915905594495,5.0,kld,0.002572506857365875
36,5365.3915905594495,6.0,kld,0.008348836829302098
37,5365.3915905594495,7.0,kld,0.021529312756398244
38,5365.3915905594495,8.0,kld,0.03191043324710896
39,5365.3915905594495,9.0,kld,0.0055786015719241355
40,7455.187440629877,0.0,kld,0.03307296954603989
41,7455.187440629877,1.0,kld,0.002942246569012541
42,7455.187440629877,2.0,kld,0.0014627017401906972
43,7455.187440629877,3.0,kld,0.019340344089199935
44,7455.187440629877,4.0,kld,0.010581454086186604
45,7455.187440629877,5.0,kld,0.01303026776714522
46,7455.187440629877,6.0,kld,0.0073962021943878575
47,7455.187440629877,7.0,kld,0.01174509726101447
48,7455.187440629877,8.0,kld,0.005437873971393614
49,7455.187440629877,9.0,kld,0.002995438835618369
50,10358.949358462427,0.0,kld,0.004522833837019347
51,10358.949358462427,1.0,kld,0.0074996470904376
52,10358.949358462427,2.0,kld,0.011068558229105685
53,10358.949358462427,3.0,kld,0.000648516193269888
54,10358.949358462427,4.0,kld,0.002331765672688446
55,10358.949358462427,5.0,kld,0.010169252081741353
56,10358.949358462427,6.0,kld,0.00467770759893571
57,10358.949358462427,7.0,kld,0.007874935871431399
58,10358.949358462427,8.0,kld,0.013085519300556347
59,10358.949358462427,9.0,kld,0.008472141716512116
60,14393.71346002303,0.0,kld,0.004393606516243764
61,14393.71346002303,1.0,kld,0.0017704973953609482
62,14393.71346002303,2.0,kld,0.0043360312706235415
63,14393.71346002303,3.0,kld,0.006521686350779099
64,14393.71346002303,4.0,kld,0.0023213416655083474
65,14393.71346002303,5.0,kld,0.008254485168816661
66,14393.71346002303,6.0,kld,0.005493946183207976
67,14393.71346002303,7.0,kld,0.0035938461126663324
68,14393.71346002303,8.0,kld,0.0014213385033630122
69,14393.71346002303,9.0,kld,0.008775933243033052
70,20000.000000000004,0.0,kld,0.001480660838536707
71,20000.000000000004,1.0,kld,0.01378922423503881
72,20000.000000000004,2.0,kld,0.002453825478550442
73,20000.000000000004,3.0,kld,0.0020877282058084923
74,20000.000000000004,4.0,kld,0.0023007839576150158
75,20000.000000000004,5.0,kld,0.0026922925739731873
76,20000.000000000004,6.0,kld,0.0038032827869041164
77,20000.000000000004,7.0,kld,0.003258242904107256
78,20000.000000000004,8.0,kld,0.0009255685958200477
79,20000.000000000004,9.0,kld,0.0019706424942314005
80,2000.0000000000002,0.0,ess,8.960677764634749
81,2000.0000000000002,1.0,ess,7.856686429846258
82,2000.0000000000002,2.0,ess,7.147121666113543
83,2000.0000000000002,3.0,ess,8.1817518516478
84,2000.0000000000002,4.0,ess,7.816189221082705
85,2000.0000000000002,5.0,ess,9.274740856730766
86,2000.0000000000002,6.0,ess,9.300439980757504
87,2000.0000000000002,7.0,ess,8.667484185284005
88,2000.0000000000002,8.0,ess,8.320686737216484
89,2000.0000000000002,9.0,ess,7.264991340352269
90,2778.9909887462754,0.0,ess,10.777577788495195
91,2778.9909887462754,1.0,ess,10.736964221635365
92,2778.9909887462754,2.0,ess,9.620655697413063
93,2778.9909887462754,3.0,ess,10.080092005954695
94,2778.9909887462754,4.0,ess,11.14704009704206
95,2778.9909887462754,5.0,ess,11.474750737741697
96,2778.9909887462754,6.0,ess,10.201718712719163
97,2778.9909887462754,7.0,ess,11.119837629981827
98,2778.9909887462754,8.0,ess,8.658895694200236
99,2778.9909887462754,9.0,ess,9.735305217558341
100,3861.3954577665,0.0,ess,16.00957281771343
101,3861.3954577665,1.0,ess,10.413781930905934
102,3861.3954577665,2.0,ess,14.647305734265185
103,3861.3954577665,3.0,ess,12.967879570710778
104,3861.3954577665,4.0,ess,12.699051956777302
105,3861.3954577665,5.0,ess,13.841487030424101
106,3861.3954577665,6.0,ess,13.878077445324084
107,3861.3954577665,7.0,ess,13.259427460124138
108,3861.3954577665,8.0,ess,12.461017426708601
109,3861.3954577665,9.0,ess,13.54937709063312
110,5365.3915905594495,0.0,ess,15.56682902708587
111,5365.3915905594495,1.0,ess,19.21343279558659
112,5365.3915905594495,2.0,ess,17.012912868868245
113,5365.3915905594495,3.0,ess,18.376652636201406
114,5365.3915905594495,4.0,ess,18.321345795894793
115,5365.3915905594495,5.0,ess,16.00237454563566
116,5365.3915905594495,6.0,ess,16.842310134580025
117,5365.3915905594495,7.0,ess,19.03829335343552
118,5365.3915905594495,8.0,ess,18.59576528520507
119,5365.3915905594495,9.0,ess,16.439822665713525
120,7455.187440629877,0.0,ess,25.149377962350098
121,7455.187440629877,1.0,ess,21.24207950243707
122,7455.187440629877,2.0,ess,23.051983953731394
123,7455.187440629877,3.0,ess,25.821685663060826
124,7455.187440629877,4.0,ess,19.89814159220416
