,iterations,replicate,variable,value
0,3000.000000000001,0.0,kld,0.08977911236391312
1,3000.000000000001,1.0,kld,7.988460764779408
2,3000.000000000001,2.0,kld,0.1744329838052959
3,3000.000000000001,3.0,kld,0.05973995873911705
4,3000.000000000001,4.0,kld,0.1545340297460608
5,3000.000000000001,5.0,kld,0.07304417405003642
6,3000.000000000001,6.0,kld,0.19817960401376555
7,3000.000000000001,7.0,kld,0.03674441429012661
8,3000.000000000001,8.0,kld,0.1443603195683739
9,3000.000000000001,9.0,kld,18.953959969538914
10,3563.0196569403606,0.0,kld,0.05741248218108249
11,3563.0196569403606,1.0,kld,0.08190755383569415
12,3563.0196569403606,2.0,kld,0.04022157148712376
13,3563.0196569403606,3.0,kld,0.08383938502093484
14,3563.0196569403606,4.0,kld,0.06979439931729396
15,3563.0196569403606,5.0,kld,0.0776429138647347
16,3563.0196569403606,6.0,kld,0.08049637161899777
17,3563.0196569403606,7.0,kld,0.042265253967830985
18,3563.0196569403606,8.0,kld,0.07866238466184201
19,3563.0196569403606,9.0,kld,0.04720563504347449
20,4231.7030252478,0.0,kld,0.08337782659190925
21,4231.7030252478,1.0,kld,0.035879937058087265
22,4231.7030252478,2.0,kld,0.1412365130367045
23,4231.7030252478,3.0,kld,0.12247485756078591
24,4231.7030252478,4.0,kld,0.04257443954115329
25,4231.7030252478,5.0,kld,0.01462389267451969
26,4231.7030252478,6.0,kld,0.03861261311062747
27,4231.7030252478,7.0,kld,0.011694234296454406
28,4231.7030252478,8.0,kld,0.033868010086714216
29,4231.7030252478,9.0,kld,17.52558175833092
30,5025.880353763971,0.0,kld,0.04144131588556702
31,5025.880353763971,1.0,kld,0.01290504749594327
32,5025.880353763971,2.0,kld,0.03651559199100444
33,5025.880353763971,3.0,kld,0.07317383945626155
34,5025.880353763971,4.0,kld,0.031094708147879402
35,5025.880353763971,5.0,kld,0.12874732118858367
36,5025.880353763971,6.0,kld,0.010764369267713883
37,5025.880353763971,7.0,kld,0.06651212056986577
38,5025.880353763971,8.0,kld,0.03574652697962052
39,5025.880353763971,9.0,kld,0.6684818183124367
40,5969.103497963797,0.0,kld,0.028347589732212814
41,5969.103497963797,1.0,kld,0.04169472774231283
42,5969.103497963797,2.0,kld,0.01740835637796656
43,5969.103497963797,3.0,kld,0.042652560545169894
44,5969.103497963797,4.0,kld,0.014688069474313744
45,5969.103497963797,5.0,kld,0.014650717810471855
46,5969.103497963797,6.0,kld,0.04084573540453914
47,5969.103497963797,7.0,kld,0.016507381748567695
48,5969.103497963797,8.0,kld,0.015071193715175438
49,5969.103497963797,9.0,kld,18.411288447828756
50,7089.3443658521555,0.0,kld,18.774662800283057
51,7089.3443658521555,1.0,kld,0.037628888249748714
52,7089.3443658521555,2.0,kld,0.011843252959149453
53,7089.3443658521555,3.0,kld,0.022726651470687937
54,7089.3443658521555,4.0,kld,0.028444550421836468
55,7089.3443658521555,5.0,kld,0.009958610969241407
56,7089.3443658521555,6.0,kld,0.009689467397754262
57,7089.3443658521555,7.0,kld,0.015632978374700308
58,7089.3443658521555,8.0,kld,0.024901124871174796
59,7089.3443658521555,9.0,kld,0.01449011935111629
60,8419.824443450205,0.0,kld,0.014175208010974716
61,8419.824443450205,1.0,kld,0.008107507740245415
62,8419.824443450205,2.0,kld,0.020979529136386416
63,8419.824443450205,3.0,kld,0.02157083531048228
64,8419.824443450205,4.0,kld,
65,8419.824443450205,5.0,kld,0.017532794716224487
66,8419.824443450205,6.0,kld,0.006843034586365038
67,8419.824443450205,7.0,kld,0.008813067764817717
68,8419.824443450205,8.0,kld,0.0084747990777434
69,8419.824443450205,9.0,kld,0.02708574689607383
70,10000.0,0.0,kld,0.014264103022257077
71,10000.0,1.0,kld,0.020540569805120496
72,10000.0,2.0,kld,0.02245865487970211
73,10000.0,3.0,kld,0.012495476547395837
74,10000.0,4.0,kld,0.03525751319016268
75,10000.0,5.0,kld,0.010547321821899732
76,10000.0,6.0,kld,0.01112008712495586
77,10000.0,7.0,kld,0.011601456760469642
78,10000.0,8.0,kld,0.014635616357332903
79,10000.0,9.0,kld,0.08780653580837557
80,3000.000000000001,0.0,ess,18.09703370209323
81,3000.000000000001,1.0,ess,15.630056863061437
82,3000.000000000001,2.0,ess,14.24085280696841
83,3000.000000000001,3.0,ess,19.754477720682623
84,3000.000000000001,4.0,ess,14.929524710472458
85,3000.000000000001,5.0,ess,15.199747898112696
86,3000.000000000001,6.0,ess,17.38028480840876
87,3000.000000000001,7.0,ess,15.535038145683384
88,3000.000000000001,8.0,ess,16.541778074079463
89,3000.000000000001,9.0,ess,16.91270640511915
90,3563.0196569403606,0.0,ess,20.246898516906576
91,3563.0196569403606,1.0,ess,22.83006546617537
92,3563.0196569403606,2.0,ess,21.656909491002928
93,3563.0196569403606,3.0,ess,19.210101919637943
94,3563.0196569403606,4.0,ess,19.65712301336368
95,3563.0196569403606,5.0,ess,17.193685347697357
96,3563.0196569403606,6.0,ess,20.02207923722876
97,3563.0196569403606,7.0,ess,17.755940047437534
